timestamp,event_title,contract_ticker,contract_title,target_time_edt,time_to_expiry_minutes,current_btc_price,strike_price,direction,selected_horizon,market_yes_probability,market_no_probability,model_yes_probability,model_no_probability,yes_edge,no_edge,confidence,recommendation,liquidity_score,bid_ask_spread,mapping_confidence,key_drivers,warnings,rank_score
2026-05-30T21:22:11.190765+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T77099.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,77099.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $77,100, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.190969+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T76999.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,76999.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $77,000, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.191229+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T76899.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,76899.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $76,900, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.191516+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T76799.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,76799.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $76,800, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.191753+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T76699.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,76699.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $76,700, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.191984+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T76599.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,76599.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $76,600, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.192196+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T76499.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,76499.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $76,500, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.192406+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T76399.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,76399.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $76,400, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.192617+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T76299.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,76299.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $76,300, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.192838+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T76199.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,76199.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $76,200, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.193044+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T76099.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,76099.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $76,100, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.193244+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T75999.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,75999.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $76,000, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.193444+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T75899.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,75899.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $75,900, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.193642+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T75799.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,75799.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $75,800, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.193846+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T75699.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,75699.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $75,700, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.194044+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T75599.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,75599.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $75,600, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.194247+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T75499.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,75499.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3443,NO TRADE,0.7123,0.01,0.75,"Lognormal CDF: spot $73,874, strike $75,500, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.194450+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T75399.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,75399.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $75,400, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.194654+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T75299.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,75299.99,above,60m,0.005,0.995,0.1731,0.8269,0.1681,-0.1681,0.3373,NO TRADE,0.505,0.01,0.75,"Strike within 2% of spot; blended CDF (0.000) with directional (0.173). | Above contract: model YES = P(above strike) = 0.173. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 17 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.194856+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T75199.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,75199.99,above,60m,0.005,0.995,0.1731,0.8269,0.1681,-0.1681,0.3373,NO TRADE,0.505,0.01,0.75,"Strike within 2% of spot; blended CDF (0.000) with directional (0.173). | Above contract: model YES = P(above strike) = 0.173. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 17 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
